id,templateId,skillId,"domain",stem,choiceA,choiceB,choiceC,choiceD,correctLetter,correctText,"choiceLengths","correctLength","lengthRatios",flags,source
GEN-RES-T11-u4mi42,RES-T11,"NEW-9-ProgramEvaluation",DBDM,"A school psychologist wants to evaluate the effectiveness of a reading intervention program. What is the most comprehensive approach?","Students only need comprehensive evaluations before intervention","Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups","Use curriculum-based measurement for comprehensive evaluation","Provide direct instruction only",B,"Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups",A=64|B=99|C=61|D=31,99.00,A=0.65|B=1.00|C=0.62|D=0.31,"length-mismatch","generated"
GEN-RES-T11-efezcm,RES-T11,"NEW-9-ProgramEvaluation",DBDM,"A school psychologist wants to evaluate the effectiveness of a mental health program. What is the most comprehensive approach?","Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups","Low scores lead to special education placement because they are related","Diagnose the student with a medical condition","Use an individual assessment for universal screening",A,"Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups",A=99|B=71|C=45|D=52,99.00,A=1.00|B=0.72|C=0.45|D=0.53,"length-mismatch","generated"
"GEN-FSC-T05-5c9ngz",FSC-T05,NEW-7-FamilySystems,Academic,"A core concept of Family Systems Theory is:","Events affecting one family member affect the whole system","Use an individual assessment for universal screening","Provide direct instruction only","Provide less than the required supervision hours",A,"Events affecting one family member affect the whole system",A=58|B=52|C=31|D=48,58.00,A=1.00|B=0.90|C=0.53|D=0.83,"irrelevant-domain","generated"
GEN-CC-T09-f15239,CC-T09,"NEW-2-FamilyCollaboration",C&C,"A school psychologist is working with a family from a different cultural background who seems resistant to intervention recommendations. What is the most effective strategy?","Using problem-solving consultation when mental health intervention is needed","Implementing the intervention immediately without baseline data or consultation","Build trust by understanding family values and adapting communication styles","Reading difficulties cause behavior problems because they are correlated",C,"Build trust by understanding family values and adapting communication styles",A=76|B=79|C=76|D=72,76.00,A=1.00|B=1.04|C=1.00|D=0.95,"none","generated"
GEN-CC-T09-tsziox,CC-T09,"NEW-2-FamilyCollaboration",C&C,"A school psychologist is working with a family from a diverse cultural background who expresses concerns about the school's approach. What is the most effective strategy?","Cognitive Behavioral Therapy","Build trust by understanding family values and adapting communication styles","Focusing solely on the student without seeking teacher input or collaboration","Focusing on individual student needs when system-wide change is required",B,"Build trust by understanding family values and adapting communication styles",A=28|B=76|C=77|D=72,76.00,A=0.37|B=1.00|C=1.01|D=0.95,"irrelevant-domain, length-mismatch","generated"
GEN-ACAD-T10-w89l4s,ACAD-T10,"NEW-3-AccommodationsModifications",Academic,"A student with ADHD needs extended time on tests. This is an example of:","An accommodation (changes how the student accesses the curriculum)","Make a medical diagnosis","Use an individual assessment for universal screening","Attention",A,"An accommodation (changes how the student accesses the curriculum)",A=66|B=24|C=52|D=9,66.00,A=1.00|B=0.36|C=0.79|D=0.14,"irrelevant-domain, length-mismatch, single-word","generated"
GEN-ACAD-T10-oxddo6,ACAD-T10,"NEW-3-AccommodationsModifications",Academic,"A student with ADHD needs a reduced assignment load. This is an example of:","The intervention caused the improvement because it was followed by be...","Use an individual assessment for universal screening","Apply the rule absolutely without considering context","A modification (changes what the student learns)",D,"A modification (changes what the student learns)",A=72|B=52|C=53|D=48,48.00,A=1.50|B=1.08|C=1.10|D=1.00,"irrelevant-domain","generated"
GEN-MBH-T16-pvuz86,MBH-T16,"NEW-4-MentalHealthImpact",DBDM,"A student experiencing depression is likely to show which impact on school engagement?","Relying solely on medication without behavioral supports or environmental modifications","Applying play therapy approaches to adolescent concerns","Intervention before assessment","Withdrawal, decreased participation, and reduced school engagement",D,"Withdrawal, decreased participation, and reduced school engagement",A=87|B=55|C=30|D=66,66.00,A=1.32|B=0.83|C=0.45|D=1.00,"length-mismatch","generated"
GEN-MBH-T16-6cqovq,MBH-T16,"NEW-4-MentalHealthImpact",DBDM,"A student experiencing trauma is likely to show which impact on school engagement?","Focusing on behavior modification when underlying emotional needs require attention","Intervention before assessment","Using a single intervention approach without considering individual needs or resp...","Impact on academic performance, engagement, and learning",D,"Impact on academic performance, engagement, and learning",A=83|B=30|C=84|D=56,56.00,A=1.48|B=0.54|C=1.50|D=1.00,"irrelevant-domain","generated"
GEN-MBH-T16-uidh0z,MBH-T16,"NEW-4-MentalHealthImpact",Academic,"A student experiencing anxiety is likely to show which impact on learning?","Allow full copying and release of test protocols","Using individual therapy strategies when group intervention is appropriate","Focusing only on academic performance without addressing emotional or social needs","Attention difficulties, memory problems, and learning challenges",D,"Attention difficulties, memory problems, and learning challenges",A=48|B=74|C=82|D=64,64.00,A=0.75|B=1.16|C=1.28|D=1.00,"none","generated"
GEN-MBH-T16-3v5g7,MBH-T16,"NEW-4-MentalHealthImpact",DBDM,"A student experiencing depression is likely to show which impact on learning?","Using cognitive behavioral therapy techniques for trauma-focused needs","Impact on academic performance, engagement, and learning","Ignoring cultural factors and family context in treatment planning and interventi...","Intervention before assessment",B,"Impact on academic performance, engagement, and learning",A=70|B=56|C=84|D=30,56.00,A=1.25|B=1.00|C=1.50|D=0.54,"none","generated"
GEN-MBH-T15-ytf543,MBH-T15,"NEW-4-DevelopmentalInterventions",Academic,"A school psychologist is planning an intervention for a middle school student who has behavioral challenges. Which approach is most developmentally appropriate?","Using cognitive behavioral therapy techniques for trauma-focused needs","Abstract, discussion-based approaches with longer sessions and peer-focused activities","Using a single intervention approach without considering individual needs or response patterns","Apply the rule absolutely without considering context",B,"Abstract, discussion-based approaches with longer sessions and peer-focused activities",A=70|B=86|C=94|D=53,86.00,A=0.81|B=1.00|C=1.09|D=0.62,"none","generated"
GEN-MBH-T15-gvj5ao,MBH-T15,"NEW-4-DevelopmentalInterventions",Academic,"A school psychologist is planning an intervention for a high school student who has behavioral challenges. Which approach is most developmentally appropriate?","Implementing interventions without understanding the underlying function or maintaining factors","Using cognitive behavioral therapy techniques for trauma-focused needs","Determine appropriate punishment for the behavior","Abstract, discussion-based approaches with longer sessions and peer-focused activities",D,"Abstract, discussion-based approaches with longer sessions and peer-focused activities",A=95|B=70|C=49|D=86,86.00,A=1.10|B=0.81|C=0.57|D=1.00,"irrelevant-domain","generated"
GEN-MBH-T15-1dye4,MBH-T15,"NEW-4-DevelopmentalInterventions",Academic,"A school psychologist is planning an intervention for a kindergarten student who experiences anxiety. Which approach is most developmentally appropriate?","Provide the best possible education","Applying play therapy approaches to adolescent concerns","Using punishment-based approaches to address behavior without understanding underlying c...","Concrete, play-based, visual strategies with shorter sessions",D,"Concrete, play-based, visual strategies with shorter sessions",A=35|B=55|C=91|D=61,61.00,A=0.57|B=0.90|C=1.49|D=1.00,"none","generated"
GEN-ACAD-T11-9xv9oj,ACAD-T11,NEW-3-AcademicProgressFactors,Academic,"A student's academic progress is influenced by socioeconomic factors. Which factor is most likely to impact achievement?","Access to resources and stability","Use curriculum-based measurement for comprehen...","Make a medical diagnosis","Breach confidentiality for general concerns ab...",A,"Access to resources and stability",A=33|B=49|C=24|D=49,33.00,A=1.00|B=1.48|C=0.73|D=1.48,"irrelevant-domain","generated"
GEN-ACAD-T11-y0z9i1,ACAD-T11,NEW-3-AcademicProgressFactors,Academic,"A student's academic progress is influenced by environmental factors. Which factor is most likely to impact achievement?","Use curriculum-based measurement for comprehensive evalua...","Provide the best possible education","Home environment and community resources","Apply the rule absolutely without considering context",C,"Home environment and community resources",A=60|B=35|C=40|D=53,40.00,A=1.50|B=0.88|C=1.00|D=1.32,"irrelevant-domain","generated"
